seq,phase,data_mode,function,runtime,variant,memory_mb,role,pattern,warming,intended_cold,force_cold,rep,block,burst_id,idle_gap_min,t_start,t_start_utc,request_id,status,function_error,error,rtt_ms,duration_ms,billed_ms,init_ms,cold,max_memory_used_mb,report_source
12.0,live_python_init,live,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,2.0,,,,1789900019.201,2026-09-20T10:26:59.201+00:00,2e58f6e0-7a7c-4161-ae59-49138fffc490,200,,False,376.504,20.17,92,71.34,True,41,logs
13.0,live_python_init,live,python-optimised,python,optimised,1024,follow_up,idle,off,False,update_env,2.0,,,,1789900019.579,2026-09-20T10:26:59.579+00:00,01f2ff8f-12ce-491f-b3aa-ab990ea41da7,200,,False,240.533,20.37,21,,False,41,logs
14.0,live_python_init,live,python-default,python,default,1024,measure,idle,off,True,update_env,2.0,,,,1789900021.92,2026-09-20T10:27:01.919+00:00,f7298602-683e-4c36-937c-e0fce35a496a,200,,False,3982.677,28.44,3488,3459.55,True,132,logs
15.0,live_python_init,live,python-default,python,default,1024,follow_up,idle,off,False,update_env,2.0,,,,1789900025.904,2026-09-20T10:27:05.904+00:00,cce3a4d8-6313-456a-be7b-d46858addf88,200,,False,207.252,19.95,20,,False,132,logs
16.0,live_python_init,live,python-bytecode,python,bytecode,1024,measure,idle,off,True,update_env,2.0,,,,1789900028.244,2026-09-20T10:27:08.244+00:00,06d6b542-071d-4cdb-9322-9bfb6c926a42,200,Unhandled,True,669.858,111.48,112,,False,47,logs
17.0,live_python_init,live,python-bytecode,python,bytecode,1024,follow_up,idle,off,False,update_env,2.0,,,,1789900028.915,2026-09-20T10:27:08.915+00:00,d5a10b2d-20fb-4f9c-b1af-23188df6b48f,200,Unhandled,True,345.267,151.45,152,,False,47,logs
18.0,live_python_init,live,python-default,python,default,1024,measure,idle,off,True,update_env,3.0,,,,1789900031.481,2026-09-20T10:27:11.480+00:00,7156c7d3-8fc2-4de6-b844-33942610bc2f,200,,False,3888.694,30.69,3418,3387.08,True,132,logs
19.0,live_python_init,live,python-default,python,default,1024,follow_up,idle,off,False,update_env,3.0,,,,1789900035.371,2026-09-20T10:27:15.370+00:00,5234dcd2-da6e-4578-9176-f9e0620b28d0,200,,False,198.018,16.11,17,,False,132,logs
20.0,live_python_init,live,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,3.0,,,,1789900037.695,2026-09-20T10:27:17.694+00:00,cbdd3725-2796-44bb-b38b-086146964313,200,,False,400.285,19.61,110,90.3,True,41,logs
21.0,live_python_init,live,python-optimised,python,optimised,1024,follow_up,idle,off,False,update_env,3.0,,,,1789900038.097,2026-09-20T10:27:18.097+00:00,288a54f5-9ea6-4761-8e62-a481b0134546,200,,False,277.895,33.48,34,,False,41,logs
