t_sent,kind,status,latency_ms,trace_id,error
1789910751.383,create,201,696.42,Root=1-6aafdedf-769bc5aa42f1df5c10e91acb,
1789910752.383,create,201,885.85,Root=1-6aafdee0-21e59d127548f1d70bd3d05c,
1789910753.383,create,201,600.84,Root=1-6aafdee1-5f9669ba0c77f2d7045ebbc8,
1789910754.383,get,200,219.4,Root=1-6aafdee2-46330b8f21e58b531af61a5e,
1789910755.383,create,201,605.35,Root=1-6aafdee3-606c8427759ce4bc32ed8c58,
1789910756.383,create,201,615.85,Root=1-6aafdee4-05a2b85021ae18ef6ca1548b,
1789910757.383,create,201,879.14,Root=1-6aafdee5-7735471f477afbb61d169217,
1789910758.383,create,201,851.81,Root=1-6aafdee6-12a5c460349aeb5b2ca94eab,
1789910759.383,get,200,560.13,Root=1-6aafdee7-5c0245b7756c1bf23b6212e5,
1789910760.383,create,201,644.85,Root=1-6aafdee8-0301196158be88621791fd1c,
1789910761.383,get,200,493.2,Root=1-6aafdee9-3e9e4ed8607f030716498da9,
1789910762.383,create,201,876.32,Root=1-6aafdeea-17bc345c5cd3b39764e5742e,
1789910763.383,create,201,839.84,Root=1-6aafdeeb-5cc1a07e11264d976f644366,
1789910764.383,create,201,879.97,Root=1-6aafdeec-52a004206be85aeb7761cf30,
1789910765.383,create,201,979.77,Root=1-6aafdeed-1ffde7ed12f6d77416f6f322,
1789910766.383,create,201,902.74,Root=1-6aafdeee-50d6d7611537c0336aad59e6,
1789910767.383,create,201,858.63,Root=1-6aafdeef-0bb1dfb401b10ded2813eefd,
1789910768.383,create,201,875.04,Root=1-6aafdef0-30389162403cf5a71700d162,
1789910769.383,create,201,908.33,Root=1-6aafdef1-1fb87e6c58bff43365ce3fbd,
1789910770.383,create,201,951.01,Root=1-6aafdef2-01b613277588aa66066652c8,
1789910771.383,create,201,654.52,Root=1-6aafdef3-3a289fb27c4e7a8461cc7c2b,
1789910772.383,create,201,850.89,Root=1-6aafdef4-7a02b62c6bd9ecf606cf8a3d,
1789910773.383,create,201,874.77,Root=1-6aafdef5-7438116717d2d8fc4b07440a,
1789910774.383,get,200,487.63,Root=1-6aafdef6-6d979f224ad0fa7405eb5050,
1789910775.383,create,201,872.79,Root=1-6aafdef7-37f513d72e27185615b5e8eb,
1789910776.383,create,201,988.96,Root=1-6aafdef8-47e87a3f7774812125fe20e9,
1789910777.383,create,201,911.19,Root=1-6aafdef9-4caf1e4e6b18d0087a69a223,
1789910778.383,create,201,863.51,Root=1-6aafdefa-2bcae9333f3e68435a00a99d,
1789910779.383,create,201,881.32,Root=1-6aafdefb-5099350213e2c3d5226e3663,
1789910780.383,create,201,617.05,Root=1-6aafdefc-1dc92c490ccf12fd13e72952,
1789910781.383,create,201,949.44,Root=1-6aafdefd-05ebb84e1ccff81c406c5e30,
1789910782.383,create,201,1154.74,Root=1-6aafdefe-0cd7f8b92baef8a52e4dcabc,
1789910783.383,create,201,843.43,Root=1-6aafdeff-7066c02176329b87005b9424,
1789910784.383,create,201,891.46,Root=1-6aafdf00-68897f4b3084d56e1b9850ff,
1789910785.383,create,201,865.15,Root=1-6aafdf01-4b7596a22c133f9951753104,
1789910786.383,create,201,919.07,Root=1-6aafdf02-7935438345f93d0d30bb0ed8,
1789910787.383,create,201,947.57,Root=1-6aafdf03-4a1a743f056b303a1b730bd0,
1789910788.383,create,201,953.57,Root=1-6aafdf04-0801a1eb63b096d30573d489,
1789910789.383,create,201,597.27,Root=1-6aafdf05-65b5e1ec655a97856ec7e815,
1789910790.383,create,201,597.52,Root=1-6aafdf06-7ba891820fe2c8125ab6419e,
1789910791.383,get,200,608.53,Root=1-6aafdf07-32e050852549897562985e87,
1789910792.383,create,201,882.17,Root=1-6aafdf08-6bc049897de716b93988d232,
1789910793.383,create,201,987.78,Root=1-6aafdf09-568d7f4f77bf606f406bd972,
1789910794.383,create,201,875.84,Root=1-6aafdf0a-09246c8e763ccbc57698ce56,
1789910795.383,create,201,927.39,Root=1-6aafdf0b-237e5dd968f87e81616e62b2,
1789910796.383,cancel,200,626.68,Root=1-6aafdf0c-25156ece77b4488762cb1d77,
1789910797.383,create,201,895.63,Root=1-6aafdf0d-0ca354654f34832d5ad25bfa,
1789910798.383,create,201,881.62,Root=1-6aafdf0e-3376f79b5db0725c45b8a311,
1789910799.383,cancel,200,622.34,Root=1-6aafdf0f-4446f9255b4d86fd03171be9,
1789910800.383,cancel,200,639.61,Root=1-6aafdf10-24ad64d15f586fee27cb1543,
1789910801.383,create,201,1026.63,Root=1-6aafdf11-18470d09673308bd31cb62c8,
1789910802.383,create,201,912.75,Root=1-6aafdf12-5272c12b5678eb6227304cae,
1789910803.383,create,201,998.02,Root=1-6aafdf13-60c6cff830a6ce6f027c2f76,
1789910804.383,get,200,499.07,Root=1-6aafdf14-2d46c5fe24d778de5d1091dc,
1789910805.383,create,201,1020.53,Root=1-6aafdf15-361170775397ca3713097971,
1789910806.383,create,201,910.16,Root=1-6aafdf16-36df7e2259e083eb59708a99,
1789910807.383,get,200,530.24,Root=1-6aafdf17-324ff2402155305d15fe4119,
1789910808.383,create,201,889.21,Root=1-6aafdf18-3d15f244003fd6a30c95e9da,
1789910809.383,get,200,229.15,Root=1-6aafdf19-35ed2706581ca2ba2cea3a72,
1789910810.383,create,504,1709.07,Root=1-6aafdf1a-25a493c76e0871cd73b7d59b,
1789910811.383,create,504,1631.18,Root=1-6aafdf1b-536d4a551bf493ca17cb1cdf,
1789910812.383,create,504,1608.61,Root=1-6aafdf1c-11397dc36634c7547bb26698,
1789910813.383,create,201,902.35,Root=1-6aafdf1d-326b9b6c0285e4d0748f1302,
1789910814.383,create,201,936.78,Root=1-6aafdf1e-5dd9fe6f117255ee18994829,
1789910815.383,create,201,868.16,Root=1-6aafdf1f-70bd5afc7517731b5864ce4b,
1789910816.383,create,201,709.02,Root=1-6aafdf20-71622816492c3bd50bb6d32b,
1789910817.383,create,201,2966.7,Root=1-6aafdf21-6c55992846306b591c6ce887,
1789910818.383,create,201,2818.95,Root=1-6aafdf22-3278bf4972d8ca3a1fdbb4bb,
1789910820.383,create,201,899.54,Root=1-6aafdf24-24c40c737e1f553702ce8102,
1789910819.383,cancel,200,2617.16,Root=1-6aafdf23-2146fd4d6e1ba1985b500c89,
1789910821.383,create,201,952.26,Root=1-6aafdf25-65306a83557badf255159b79,
1789910822.383,create,201,878.92,Root=1-6aafdf26-2edee0ce3353f97e7a802756,
1789910823.383,create,201,912.06,Root=1-6aafdf27-53835ac7076962d52c70dbfd,
1789910824.383,cancel,200,677.68,Root=1-6aafdf28-3d92879b2bfd6c4f62162da2,
1789910825.383,create,201,714.35,Root=1-6aafdf29-023c7d25200d2d99191c246c,
1789910826.383,create,201,874.5,Root=1-6aafdf2a-150d4bc7285c993641ca8527,
1789910827.383,create,201,612.47,Root=1-6aafdf2b-1652ef392a942d642c70a0ea,
1789910828.383,create,201,933.71,Root=1-6aafdf2c-4cc6739e3cf63f1359080745,
1789910829.383,create,201,642.0,Root=1-6aafdf2d-373e21284c984109528116cc,
1789910830.383,create,201,913.03,Root=1-6aafdf2e-17eb4cbb17f4fa0a0a0c4b3c,
1789910831.383,create,201,667.86,Root=1-6aafdf2f-5212269d7d5f319d538c3704,
1789910832.383,create,201,959.52,Root=1-6aafdf30-410c517b0f2dd3b41e352ab1,
1789910833.383,create,201,908.64,Root=1-6aafdf31-0e7ff61b1a0c910354174780,
1789910834.383,create,201,955.23,Root=1-6aafdf32-61507fb423ee89d65f9666ed,
1789910835.383,create,201,990.48,Root=1-6aafdf33-1214053a179cc1dc4a17a4a1,
1789910836.383,get,200,629.06,Root=1-6aafdf34-7c3c0e466fa679bc566de915,
1789910837.383,create,201,895.99,Root=1-6aafdf35-12abc8ee09ca8be154e7ea69;Parent=63ddac63b69041fe;Sampled=0;Lineage=1:3cc2d273:0,
1789910838.383,create,201,934.41,Root=1-6aafdf36-3c3d4604293abcb9218343b7;Parent=10779c97eeb65755;Sampled=0;Lineage=1:3cc2d273:0,
1789910839.383,create,201,930.79,Root=1-6aafdf37-23ab9b0e2b94f47358291aca;Parent=57257ae70ed7bcb3;Sampled=0;Lineage=1:3cc2d273:0,
1789910840.383,create,201,874.61,Root=1-6aafdf38-492ad8d52e83c9d5187b0139;Parent=36379b414ee30a42;Sampled=0;Lineage=1:3cc2d273:0,
1789910841.383,create,201,932.19,Root=1-6aafdf39-243027d5718c16185c5dd80d;Parent=5e15d0bf8e62f403;Sampled=0;Lineage=1:3cc2d273:0,
1789910842.383,create,201,921.67,Root=1-6aafdf3a-0c68e6997507d4e9548597d0;Parent=51247b5aa6c81c42;Sampled=0;Lineage=1:3cc2d273:0,
1789910843.383,create,201,874.12,Root=1-6aafdf3b-024311753ca321bd44d02f10,
1789910844.383,create,201,898.56,Root=1-6aafdf3c-1c3b6e9d179f19d621163ca5;Parent=057cb68933542109;Sampled=0;Lineage=1:3cc2d273:0,
