t_sent,kind,status,latency_ms,trace_id,error
1789911353.147,create,201,958.99,Root=1-6aafe139-0bde096545d4ad1701c8fbff;Parent=51dd373ed2ddd6f2;Sampled=0;Lineage=1:3cc2d273:0,
1789911354.147,create,201,923.75,Root=1-6aafe13a-3d25fdd058335edb2a0aba0c;Parent=516eb47655ca9c84;Sampled=0;Lineage=1:3cc2d273:0,
1789911355.147,cancel,200,620.17,Root=1-6aafe13b-39c54dfa7eb0d4f13cd9a241;Parent=0cd9acf70c8f5920;Sampled=0;Lineage=1:3cc2d273:0,
1789911356.147,create,201,721.77,Root=1-6aafe13c-30b5908f1eee76292ea58092;Parent=37f2fd032fe89730;Sampled=0;Lineage=1:3cc2d273:0,
1789911357.147,create,201,1010.34,Root=1-6aafe13d-6fe6e1db630684d134cd0bb8;Parent=4f520b5db2b36f00;Sampled=0;Lineage=1:3cc2d273:0,
1789911358.147,cancel,200,662.26,Root=1-6aafe13e-0ab12ac0731f0af811d2e50f;Parent=76a8bfd239a2175f;Sampled=0;Lineage=1:3cc2d273:0,
1789911359.147,cancel,200,1012.76,Root=1-6aafe13f-1a67e4da2d890df5409ad251;Parent=4d28f9c3f0fed221;Sampled=0;Lineage=1:3cc2d273:0,
1789911360.147,create,201,985.51,Root=1-6aafe140-12574a376c7d4b0327e97391;Parent=10c5e241e8b6aa54;Sampled=0;Lineage=1:3cc2d273:0,
1789911361.147,create,201,899.82,Root=1-6aafe141-228baabf2ca5ada1569a8c41;Parent=4d8381994c35bd46;Sampled=0;Lineage=1:3cc2d273:0,
1789911362.147,create,201,949.72,Root=1-6aafe142-01fc6c764623a234353bae45;Parent=7745162da355a3f3;Sampled=0;Lineage=1:3cc2d273:0,
1789911363.147,get,200,251.9,Root=1-6aafe143-3551e112333c2df6171fb3b5;Parent=22bd4fe9b232aa9c;Sampled=0;Lineage=1:3cc2d273:0,
1789911364.147,create,201,961.98,Root=1-6aafe144-40ac17286b1d81a7082d4f8f;Parent=5bcc977304793c65;Sampled=0;Lineage=1:3cc2d273:0,
1789911365.147,create,201,904.84,Root=1-6aafe145-168101f73b189a0064c41835;Parent=5fad801341e54a9a;Sampled=0;Lineage=1:3cc2d273:0,
1789911366.147,get,200,226.3,Root=1-6aafe146-5f74853172f439fe43831b1f;Parent=5654ecec952fa7a1;Sampled=0;Lineage=1:3cc2d273:0,
1789911367.147,create,201,979.33,Root=1-6aafe147-42f269576364c255146b78ed;Parent=77634d16ec7284a6;Sampled=0;Lineage=1:3cc2d273:0,
1789911368.147,get,200,499.29,Root=1-6aafe148-761385102faed596782ae3a5;Parent=79e4e314f72707a3;Sampled=0;Lineage=1:3cc2d273:0,
1789911369.147,create,201,746.42,Root=1-6aafe149-2f1a1d0540a2784f25a29550;Parent=145446bbe59ed245;Sampled=0;Lineage=1:3cc2d273:0,
1789911370.147,create,201,1000.6,Root=1-6aafe14a-71b8eef81809e207240e3116;Parent=0a45fa345b8c48a5;Sampled=0;Lineage=1:3cc2d273:0,
1789911371.147,create,201,953.71,Root=1-6aafe14b-118d295827fe20f71ca5c2cc;Parent=55e928c534648423;Sampled=0;Lineage=1:3cc2d273:0,
1789911372.147,create,201,906.23,Root=1-6aafe14c-5736d6bd1f061c10231edfe3;Parent=7f2d98fdc45bd4b4;Sampled=0;Lineage=1:3cc2d273:0,
1789911373.147,create,201,664.17,Root=1-6aafe14d-167226a8048425150d82359a;Parent=46ff8c530b2b1844;Sampled=0;Lineage=1:3cc2d273:0,
1789911374.147,create,201,1012.15,Root=1-6aafe14e-758229e65a4a638521279a3c;Parent=6cba749c59ffbdf5;Sampled=0;Lineage=1:3cc2d273:0,
1789911375.147,create,201,924.07,Root=1-6aafe14f-1001e9ad3df495f956d12ff0;Parent=67d58ddd841faabd;Sampled=0;Lineage=1:3cc2d273:0,
1789911376.147,create,201,900.91,Root=1-6aafe150-6fc9c4f7028000ef3eab73cc;Parent=3af80c6e30cb74b8;Sampled=0;Lineage=1:3cc2d273:0,
1789911377.147,create,201,959.36,Root=1-6aafe151-2c3a3f6057e9da4d1c4df50b;Parent=3625570c4a47bcc3;Sampled=0;Lineage=1:3cc2d273:0,
1789911378.147,cancel,200,627.3,Root=1-6aafe152-76a706973491d200737fe9ea;Parent=2c05cc7efe2357b4;Sampled=0;Lineage=1:3cc2d273:0,
1789911379.147,create,201,936.69,Root=1-6aafe153-23b466ef1aa5ba395e439177;Parent=1521299c2463a395;Sampled=0;Lineage=1:3cc2d273:0,
1789911380.147,create,201,943.99,Root=1-6aafe154-5565012b1e032f451bbff6a7;Parent=371e5c420c4e1a53;Sampled=0;Lineage=1:3cc2d273:0,
1789911381.147,create,201,1011.69,Root=1-6aafe155-6b9f07cd76d2f3b127f37e2d;Parent=3b25ffed8d7c949f;Sampled=0;Lineage=1:3cc2d273:0,
1789911382.147,create,201,941.33,Root=1-6aafe156-7082738068b8893c1c40a85c;Parent=1e75c6922df62ead;Sampled=0;Lineage=1:3cc2d273:0,
1789911383.147,cancel,200,602.48,Root=1-6aafe157-63c763cc30641c190e5e5161;Parent=01439958882f6879;Sampled=0;Lineage=1:3cc2d273:0,
1789911384.147,create,201,942.45,Root=1-6aafe158-027e6d79118f0a514d31cf59;Parent=204cb2e90fc248f5;Sampled=0;Lineage=1:3cc2d273:0,
1789911385.147,create,201,902.08,Root=1-6aafe159-1e2caab565c7274631c05fe2;Parent=229eecb39830cb44;Sampled=0;Lineage=1:3cc2d273:0,
1789911386.147,create,201,959.22,Root=1-6aafe15a-1102c9d23e7ae4bc2fff7ec7;Parent=449856242ebdb504;Sampled=0;Lineage=1:3cc2d273:0,
1789911387.147,create,201,902.69,Root=1-6aafe15b-68d9ea4e02281178456a04c6;Parent=0e44f655c40836f8;Sampled=0;Lineage=1:3cc2d273:0,
1789911388.147,create,201,973.48,Root=1-6aafe15c-722e1b86509428bf37e79ac5;Parent=75bd7dca85a14c4e;Sampled=0;Lineage=1:3cc2d273:0,
1789911389.147,create,201,906.02,Root=1-6aafe15d-6b315e386a0f0e3b3420030a;Parent=14204e20d9fcf3db;Sampled=0;Lineage=1:3cc2d273:0,
1789911390.147,create,201,933.67,Root=1-6aafe15e-1d184dfd24e7c77531e3bd3e;Parent=1c9ac3bde377ee63;Sampled=0;Lineage=1:3cc2d273:0,
1789911391.147,create,201,980.95,Root=1-6aafe15f-1b9b6ab6413480b612aeb3c6;Parent=5112e2aa9f161017;Sampled=0;Lineage=1:3cc2d273:0,
1789911392.147,create,201,1041.87,Root=1-6aafe160-4bae4849737a3aaf5504f9d0;Parent=70a47d5f99b5db7d;Sampled=0;Lineage=1:3cc2d273:0,
1789911393.147,create,201,750.54,Root=1-6aafe161-299db37d5d6e1fad1f584e89;Parent=18360c7c01c6c0b6;Sampled=0;Lineage=1:3cc2d273:0,
1789911394.147,create,201,1005.5,Root=1-6aafe162-0c06128d7b77633319e40f85;Parent=544e7adc181a295d;Sampled=0;Lineage=1:3cc2d273:0,
1789911395.147,get,200,495.22,Root=1-6aafe163-507fdc2a77486dff4d7585e5;Parent=48fae4905099282e;Sampled=0;Lineage=1:3cc2d273:0,
1789911396.147,create,201,882.31,Root=1-6aafe164-6ebd267e37931d63436b8bb6;Parent=7f952352e615cca3;Sampled=0;Lineage=1:3cc2d273:0,
1789911397.147,create,201,678.86,Root=1-6aafe165-05f81e3530d6fbbe6ce75a7a;Parent=2bab7b43be2cfd1f;Sampled=0;Lineage=1:3cc2d273:0,
1789911398.147,create,201,919.13,Root=1-6aafe166-570b0815142cd0564a8519fa;Parent=3643e1a24e395051;Sampled=0;Lineage=1:3cc2d273:0,
1789911399.147,create,201,968.33,Root=1-6aafe167-447c38bb691e805f3fb27f3a;Parent=22823008d078af1f;Sampled=0;Lineage=1:3cc2d273:0,
1789911400.147,create,201,897.99,Root=1-6aafe168-1786519a16e912c503e8e2b6;Parent=5c491168345e0529;Sampled=0;Lineage=1:3cc2d273:0,
