time_s,cpu_cores_sum,mem_sum,n_machines,sample_note
27600,33.06619886666667,81.58598123333333,6.133333333333334,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
27900,33.5783718,81.69881313333333,6.966666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
28200,33.0894104,84.56418363333334,6.633333333333334,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
28500,33.77398146666666,81.65916663333334,6.4,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
28800,46.2619403,85.18532366666666,6.866666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
29100,43.2495431,83.8148112,6.3,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
29400,35.00800266666667,76.89808196666667,5.766666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
29700,40.653989933333335,77.83013460000001,6.333333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
30000,40.17604133333334,84.09336223333334,7.6,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
30300,43.18701063333333,82.9420238,7.033333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
30600,39.5334765,81.50050706666667,6.066666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
30900,34.48410653333334,79.45541123333334,6.766666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
31200,39.29003976666667,81.12532856666667,7.0,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
31500,39.248250399999996,80.07936756666666,7.766666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
31800,37.57704886206896,80.30720634482759,5.862068965517241,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
32100,35.90816136666667,80.89838626666666,7.1,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
32400,40.3477513,81.10034390000001,5.9,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
32700,35.64099203333333,78.2202778,5.6,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
33000,39.66154406666667,82.28314926666667,5.766666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
33300,33.421192866666665,79.42207789999999,5.7,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
33600,35.7871428,81.10272490000001,5.7,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
33900,35.41041006666667,80.47968253333333,5.633333333333334,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
34200,31.8313889,80.46625666666667,5.8,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
