runtime,variant,process_wall_ms,ok,init_proxy_ms,handler_ms,digest,items_total,rep,warmup,seq
java,optimised,166.631,True,41.136,88.777,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,11,False,71.0
python,optimised,32.853,True,20.778,8.672,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,12,False,72.0
nodejs,optimised,76.401,True,30.021,39.201,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,12,False,73.0
nodejs,default,396.956,True,331.349,50.001,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,12,False,74.0
java,default,349.194,True,237.912,69.432,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,12,False,75.0
python,default,2460.073,True,2379.67,8.023,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,12,False,76.0
java,optimised,163.665,True,40.626,87.771,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,12,False,77.0
java,optimised,152.076,True,36.1,80.558,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,13,False,78.0
nodejs,optimised,76.594,True,29.805,39.688,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,13,False,79.0
java,default,320.31,True,210.762,70.036,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,13,False,80.0
python,optimised,32.687,True,20.991,8.317,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,13,False,81.0
python,default,2474.535,True,2390.725,8.518,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,13,False,82.0
nodejs,default,396.459,True,328.483,53.928,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,13,False,83.0
java,default,330.843,True,229.689,63.551,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,14,False,84.0
python,optimised,33.056,True,20.956,8.671,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,14,False,85.0
python,default,2465.08,True,2385.766,8.373,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,14,False,86.0
java,optimised,158.794,True,36.357,86.176,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,14,False,87.0
nodejs,optimised,74.685,True,29.44,37.989,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,14,False,88.0
nodejs,default,400.482,True,335.223,52.413,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,14,False,89.0
java,default,358.062,True,252.783,66.925,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,15,False,90.0
python,default,2484.171,True,2386.557,8.442,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,15,False,91.0
nodejs,optimised,78.273,True,30.995,39.797,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,15,False,92.0
java,optimised,151.335,True,35.993,79.904,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,15,False,93.0
python,optimised,32.43,True,20.811,8.292,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,15,False,94.0
nodejs,default,403.372,True,337.044,53.65,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,15,False,95.0
nodejs,default,401.897,True,335.874,50.088,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,16,False,96.0
nodejs,optimised,82.839,True,35.993,40.02,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,16,False,97.0
python,default,2458.149,True,2379.766,8.492,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,16,False,98.0
java,optimised,154.991,True,36.809,83.491,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,16,False,99.0
python,optimised,33.15,True,20.819,8.914,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,16,False,100.0
java,default,327.057,True,214.893,73.752,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,16,False,101.0
python,default,2467.426,True,2387.632,8.466,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,17,False,102.0
java,optimised,168.556,True,40.986,91.15,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,17,False,103.0
java,default,324.854,True,207.047,79.522,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,17,False,104.0
python,optimised,32.462,True,20.862,8.304,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,17,False,105.0
nodejs,default,390.926,True,327.66,49.021,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,17,False,106.0
